,prod_name,clean_detail_desc,Query,Word2Vec Score,Simple Bert Score,Bert Score,FuzzyWuzzy Score,Query Word2Vec Score,Query Simple Bert Score,Query Bert Score,Query FuzzyWuzzy Score
1116957,Seb overshirt,overs shirt jacket wash cotton denim collar button front yoke back flap chest pocket button side pocket drop shoulder long sleev button cuff round hem,Denim Jacket,0.6370903849601746,0.5291747450828552,0.39815521240234375,0.11,0.6336083114147186,0.48398202657699585,0.5102702081203461,0.09
81117,Jan tee,tshirt pattern cotton jersey round necklin chest pocket,Rounk Neck Tshirt,0.7032435536384583,0.774872362613678,0.31475579738616943,0.13,0.5499168932437897,0.33558523654937744,0.47770261764526367,0.14
760759,Orlando padded soft bra,soft nonwir bra lace adjust strap cup remov insert shape bust provid good support hookandey fasten back elast hem,padded soft bra,0.37777626514434814,0.38676708936691284,0.6040824353694916,0.12,0.31116408109664917,0.37731319665908813,0.5390638113021851,0.12
943975,Luna skinny 5 pkt,pocket jean wash superstretch denim regular waist zip fli button skinni leg,denim jeans,0.5852794051170349,0.706072986125946,0.5813363194465637,0.17,0.3403424620628357,0.387798547744751,0.5125288665294647,0.21
979649,ZEBRA CF TVP,top lightweight sweatshirt fabric drop shoulder rib around necklin cuff hem,Sweatshirt,0.9826638586819172,0.673152506351471,0.39055687189102173,0.05,0.68471759557724,0.389896035194397,0.27759867906570435,0.21
401968,CALLISTO ski jkt,pad ski jacket windproof waterrepel breathabl function fabric close seam critic point line hood peak elast drawstr zip front side pocket chest pocket zip lift pass pocket two inner pocket one zip mesh snow flap reinforc elast pressstud waist adjust hook loop tab cuff elast drawstr hem line jacket waterrepel coat without fluorocarbon,Windproof Jacket,0.6709148585796356,0.5088545083999634,0.567454606294632,0.05,0.591669112443924,0.6278940141201019,0.5872719585895538,0.08
346390,ESSENTIAL FIONA LACE TANK,fit top soft rib cotton jersey vneck lace trim top lace shoulder strap,Top,0.912772923707962,0.2938309907913208,0.5486803948879242,0.06,0.7376987040042877,0.6838354766368866,0.15944403409957886,0.05
465349,Simple as That Triangle Top,line nonwir triangl bikini top wide hem narrow adjust shoulder strap fasten differ way back cup remov insert shape bust provid good support fasten,triangl bikini,0.6733211278915405,0.5849405825138092,0.4145025610923767,0.16,0.6035303473472595,0.2952868938446045,0.49699848890304565,0.18
1143228,Ozzy Denim Shorts,highwaist short superstretch twill back pocket sewnin turnup hem,denim shorts,0.7004756927490234,0.33392322063446045,0.5293334722518921,0.17,0.42207491397857666,0.38006848096847534,0.5027430951595306,0.21
1015978,Shorts HW Pixie,highwaist short wash stretch denim zip fli button fake front pocket real back pocket short slit side,shorts,0.742926687002182,0.4877750277519226,0.5735144317150116,0.12,0.5469109416007996,0.5320334434509277,0.2733139991760254,0.11
