article_id,articles_sold
706016001,14951
706016002,14289
610776002,13372
372860001,13254
565379001,13021
573716012,12648
399223001,12567
562245001,12390
351484002,11347
108775015,10671
399256001,10406
507910001,10199
539723005,10093
689109001,9988
610776001,9936
156231001,9840
464297007,9260
673396002,8786
692930001,8730
372860002,8587
539723001,8559
484398001,8432
568601006,8326
689109003,8248
599580020,8238
507909001,8072
590928001,8069
684209001,7949
599580017,7823
565379002,7796
562245018,7650
608776002,7553
554450001,7373
160442007,7310
355072001,7258
179123001,7220
538699001,7185
712587003,7159
692930003,7146
111593001,7110
160442010,7045
688537004,6978
561445005,6738
759871002,6723
108775044,6684
562245046,6559
600886001,6540
554479005,6493
355072002,6440
610776022,6429
688537011,6273
680262001,6238
636323001,6131
579541001,6122
355569001,6067
656763001,5989
684209004,5943
200182001,5904
636455003,5882
111586001,5866
399256005,5793
673677002,5713
228257001,5701
554479001,5692
706016003,5673
683662005,5598
399136009,5538
158340001,5469
564786001,5366
661306008,5353
448509014,5344
589599031,5303
599580014,5271
589222001,5237
699075001,5225
573716053,5176
572797001,5169
572797002,5120
629420007,5097
629420001,5092
624486001,5037
720137001,5031
554450027,5002
684341001,4963
590928011,4957
739590002,4948
399201005,4854
695545001,4845
559633001,4840
446224002,4839
562245004,4818
618800001,4805
678942001,4784
610776033,4750
615141002,4745
723529001,4709
610776040,4695
562245050,4678
399223029,4674
539723003,4655
684209013,4643
537116001,4641
736573002,4619
758064001,4617
536139006,4604
612481002,4586
727029001,4571
608776003,4538
739144003,4534
739144004,4531
605690001,4467
714824001,4460
741356002,4457
712587004,4450
507883009,4449
612935009,4440
589222005,4436
559630013,4411
436261001,4411
688873002,4408
529012025,4399
507909003,4387
589599047,4387
188183001,4374
664319021,4348
680263003,4344
539723006,4324
351484027,4323
673638001,4308
583534002,4299
610776026,4285
554772002,4279
684209006,4271
733267001,4267
189616006,4263
678694001,4262
609719001,4215
699081001,4214
758060001,4174
712924001,4165
749699002,4163
529008045,4152
579302001,4142
599580028,4141
709297002,4104
611024001,4085
351933001,4081
179950001,4078
568597006,4076
608458001,4072
745475001,4070
728162001,4070
747939002,4061
573085004,4043
673799001,4029
573085010,4019
640021005,4019
716672001,4008
664074001,4005
684340001,4003
687034009,4002
573716050,3985
611415001,3985
565379022,3984
762762002,3967
739144007,3964
399136004,3961
610776032,3959
728162002,3951
699080001,3948
542402001,3946
562252028,3942
470789001,3937
501820001,3935
692226003,3934
688873001,3930
399087014,3920
749699001,3911
554450004,3906
401044004,3896
706016015,3887
399201022,3886
573716049,3875
688537001,3866
547367007,3858
559634009,3843
399256018,3831
519583013,3823
706016006,3808
705988005,3774
538699007,3765
695632002,3757
469137001,3753
675068002,3746
458543001,3744
663679001,3738
708352001,3726
680265002,3703
699075002,3688
636455005,3687
695632001,3682
678715001,3680
673901001,3667
739974006,3662
699077001,3661
465655010,3660
554450019,3659
399087010,3656
484205004,3645
399087001,3642
649437002,3633
656763007,3614
665095005,3607
678696001,3602
745475002,3595
660599001,3588
590928019,3588
624486002,3587
709300002,3581
524825011,3558
565379023,3554
573085020,3551
